N°_PERRO;MES_FOTO;ANHO_FOTO;ZONA;DISTRITO;CODIGO_PERRO;VINCULO;LATITUD ;LONGITUD;BUSCADOR;DUPLICADO_BUSCADOR;DUPLICADO_ZONA;DUPLICADO_ENTRE_ZONAS;FUERA_FECHA;DENTRO_CASA;FUERA_ZONA;BUSQUEDA
1;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/GsUeEPj8GSA3cFTT9;-16.381831°;-71.523655°;3;;;;;;;A
2;DICIEMBRE;2014;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/weBncJRZUmMzZGHHA;;;3;0;0;0;1;0;0;A
3;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/SpXtAZuWfkDABpvz6;-16.380814°;-71.522594°;3;;;;;;;A
4;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/3T5miv9pyyU4Egnh6;;;3;0;0;0;0;0;1;A
5;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/1UQDeQuGb9RCCaCa6;;;3;0;0;0;0;0;1;A
6;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/SPt5ryMQBXWXgTbh7;-16.378874°;-71.522941°;3;;;;;;;A
7;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/WyAGQeHBfZqzg6aw9;-16.380114°;-71.523573°;3;;;;;;;A
8;JULIO;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/ok5gmfLbWpGDH4cY8;-16.380901°;-71.523125°;3;;;;;;;A
9;JULIO;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/9DnzQitv47H68D7u7;-16.380940°;-71.523092°;3;;;;;;;A
10;DICIEMBRE;2014;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/sZZbHFYxjemiR5Qz9;;;3;0;0;0;1;0;0;A
